Date,Description,Amount,Running Bal.,BERT_Category,Cluster,Cluster_Summary
5/16/25,VEO* CAPTURE 05/15 PURCHASE VEORIDE.COM CA,-0.6,"6,659.50",Retail,6,This is a list of all of the items that have been added to the list
5/16/25,UBER TRIP DES:UBER TRIP ID:ST-Y2F7P7J0U8G5 INDN:SPARSH V PATEL CO ID:XXXXX48598 WEB,-9.97,"6,649.53",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
5/19/25,BUTLER FOOD STORE 05/16 PURCHASE NEW BRUNSWICK NJ,-7.71,"6,641.82",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/19/25,HUEY'S KNIGHT CLUB 05/17 PURCHASE NEW BRUNSWICK NJ,-20.8,"6,621.02",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/19/25,HUEY'S KNIGHT CLUB 05/17 PURCHASE NEW BRUNSWICK NJ,-10.4,"6,610.62",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/19/25,TST* TACORIA- NEW BRUNS 05/17 PURCHASE NEW BRUNSWICK NJ,-32.99,"6,577.63",Food & Dining,1,This is the first time I've seen a new product that has been made in the United States
5/19/25,PETER'S LIQUORS 05/17 PURCHASE NEW BRUNSWICK NJ,-15.99,"6,561.64",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/19/25,KNIGHTS DELI GROCERY 05/18 PURCHASE NEW BRUNSWICK NJ,-15.43,"6,546.21",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/19/25,VEO* DEPOSIT 05/18 PURCHASE VEORIDE.COM CA,-10,"6,536.21",Retail,6,This is a list of all of the items that have been added to the list
5/19/25,VEO* CAPTURE 05/18 PURCHASE VEORIDE.COM CA,-10,"6,526.21",Retail,6,This is a list of all of the items that have been added to the list
5/19/25,VEO* CAPTURE 05/18 PURCHASE VEORIDE.COM CA,-10,"6,516.21",Retail,6,This is a list of all of the items that have been added to the list
5/19/25,VEO* CAPTURE 05/18 PURCHASE VEORIDE.COM CA,-10,"6,506.21",Retail,6,This is a list of all of the items that have been added to the list
5/19/25,VEO* CAPTURE 05/18 PURCHASE VEORIDE.COM CA,-0.5,"6,505.71",Retail,6,This is a list of all of the items that have been added to the list
5/19/25,BUTLER FOOD STORE 05/18 PURCHASE NEW BRUNSWICK NJ,-6.48,"6,499.23",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/20/25,SQ *THE BAKED BEAR 05/18 PURCHASE New Brunswick NJ,-10.34,"6,488.89",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/20/25,HUEY'S KNIGHT CLUB 05/19 PURCHASE NEW BRUNSWICK NJ,-10.4,"6,478.49",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/20/25,SHOKUDO 05/19 PURCHASE PISCATAWAY NJ,-31.33,"6,447.16",Retail,7,"$1,000"
5/20/25,SQ *THE BAKED BEAR 05/19 PURCHASE New Brunswick NJ,-10.49,"6,436.67",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/21/25,VEO* CAPTURE 05/20 PURCHASE VEORIDE.COM CA,-7.08,"6,429.59",Retail,6,This is a list of all of the items that have been added to the list
5/21/25,CTLP*CANTEEN VENDING 05/20 PURCHASE CHARLOTTE NC,-2.1,"6,427.49",Retail,7,"$1,000"
5/21/25,BUTLER FOOD STORE 05/20 PURCHASE NEW BRUNSWICK NJ,-16.47,"6,411.02",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/21/25,DOLLAR TREE 05/21 PURCHASE SOUTH PLAINFI NJ,-2.75,"6,408.27",Retail,7,"$1,000"
5/23/25,TARGET T-1929 05/23 PURCHASE South Plainfi NJ,-16.94,"6,391.33",Retail,7,"$1,000"
5/27/25,EXXON EDISON MART 05/25 PURCHASE EDISON NJ,-10,"6,381.33",Retail,9,The following is a list of all of the items that are listed in the following order
5/28/25,AMAZON PRIME*NN0B35370 05/27 PURCHASE Amzn.com/bill WA,-7.99,"6,373.34",Retail,7,"$1,000"
5/29/25,7-ELEVEN 35664 05/27 PURCHASE NEW BRUNSWICK NJ,-6.17,"6,367.17",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/29/25,MIDDLESEX CC APPLICATIO 05/28 PURCHASE 732-548-6000 NJ,-25,"6,342.17",Retail,7,"$1,000"
6/2/25,NNT SMOKEVANA 05/31 PURCHASE MATAWAN NJ,-15.98,"6,326.19",Food & Dining,7,"$1,000"
6/2/25,THAI KITCHEN BRIDGEWAT 06/01 PURCHASE BRIDGEWATER NJ,-20.95,"6,305.24",Food & Dining,7,"$1,000"
6/5/25,SP FAN TREASPRO IMAGE 06/04 PURCHASE XXX-XX103261 NJ,-49.99,"6,255.25",Food & Dining,7,"$1,000"
6/6/25,KNIGHTS DELI GROCERY 06/06 PURCHASE NEW BRUNSWICK NJ,-5.48,"6,249.77",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
6/9/25,SP FAN TREASPRO IMAGE 06/07 REFUND RUNNEMEDE NJ,49.99,"6,299.76",Food & Dining,7,"$1,000"
6/9/25,Lids 5054 06/07 PURCHASE Edison NJ,-54.99,"6,244.77",Retail,9,The following is a list of all of the items that are listed in the following order
6/9/25,DOLLARTREE 06/07 PURCHASE EDISON NJ,-1.25,"6,243.52",Retail,9,The following is a list of all of the items that are listed in the following order
6/10/25,YESTERCADES III 06/09 PURCHASE WESTFIELD NJ,-21.22,"6,222.30",Retail,1,This is the first time I've seen a new product that has been made in the United States
6/11/25,SQ *THE BAKED BEAR 06/09 PURCHASE Westfield NJ,-11.14,"6,211.16",Food & Dining,1,This is the first time I've seen a new product that has been made in the United States
6/13/25,"Zelle payment from JASON NGUYEN for TexasRoadhouse""; Conf# eb2rh6z68""",20,"6,231.16",Retail,7,"$1,000"
6/16/25,TEXAS ROADHOUSE #2496 06/13 PURCHASE NORTH PLAINFI NJ,-96.21,"6,134.95",Retail,7,"$1,000"
6/18/25,H MART EDISON LLC 06/17 PURCHASE EDISON NJ,-3.98,"6,130.97",Retail,9,The following is a list of all of the items that are listed in the following order
